Cohort	subjects	male	female	age_min	age_max	BMI_min	BMI_max	counts	avgCperP
Cohort_1	10	0	10	26	66	23	43.5	10834	1083
Cohort_2	2	0	2	54	62.5	50	54	6435	3218
Cohort_3	1	0	1	66	66.5	36.4	36.9	8471	8471
Sun et al.	5	NA	NA	22	77	NA	NA	4885	977
Emont et al. snSC	9	3	6	29	68	22.15	48.8	56169	6241
Emont et al. scSC	9	0	9	49	71	20	36	28464	3163
Hildreth et al.	6	0	6	32	43	16.9	33.4	83546	13924
Vijay et al. SC	13	4	9	27	67	32.5	54.7	13449	1035
Acosta et al.	4	0	4	36	61	24.3	33.6	915	229
Merrick et al.	1	0	1	31	31.5	31.6	32.1	11335	11335
Karunakaran et al.	2	1	1	46	62	NA	NA	2223	1112
Bäckdahl et al.	10	2	8	38	66	19.9	36.4	27937	2794
Cohort_4 OM	5	0	5	43.5	62	42.3	54.2	15102	3020
Emont et al. snOM	10	3	7	29	73	22.15	48.8	81395	8140
Jaitin et al.	1	0	1	51	51.5	46	46.5	12065	12065
Vijay et al. OM	12	3	9	27	60	32.5	54.7	12899	1075
Angueira et al.	3	3	0	61	65	23.5	35.3	25196	8399
