"cluster" "jaccard" "cohort"
"A_0" 0.405405405405405 "A"
"A_0" 0.324561403508772 "A"
"A_0" 0.306666666666667 "A"
"A_0" 0.267857142857143 "A"
"A_0" 0.253588516746411 "A"
"A_1" 0.595505617977528 "A"
"A_1" 0.292134831460674 "A"
"A_1" 0.223776223776224 "A"
"A_1" 0.201219512195122 "A"
"A_1" 0.179775280898876 "A"
"A_10" 0.47008547008547 "A"
"A_10" 0.298795180722891 "A"
"A_10" 0.275482093663912 "A"
"A_10" 0.2747748 "A"
"A_10" 0.248434237995825 "A"
"A_11" 0.315068493150685 "A"
"A_11" 0.272 "A"
"A_11" 0.216494845360825 "A"
"A_11" 0.196969696969697 "A"
"A_11" 0.193181818181818 "A"
"A_12" 0.345454545454545 "A"
"A_12" 0.320261437908497 "A"
"A_12" 0.2893082 "A"
"A_12" 0.263959390862944 "A"
"A_12" 0.261194029850746 "A"
"A_13" 0.355932203389831 "A"
"A_13" 0.32258064516129 "A"
"A_13" 0.314516129032258 "A"
"A_13" 0.3125 "A"
"A_13" 0.298850574712644 "A"
"A_14" 0.418918918918919 "A"
"A_14" 0.336363636363636 "A"
"A_14" 0.321782178217822 "A"
"A_14" 0.270676691729323 "A"
"A_14" 0.253658536585366 "A"
"A_15" 0.349056603773585 "A"
"A_15" 0.326923076923077 "A"
"A_15" 0.252747252747253 "A"
"A_15" 0.238095238095238 "A"
"A_15" 0.236486486486486 "A"
"A_16" 0.323529411764706 "A"
"A_16" 0.296296296296296 "A"
"A_16" 0.282828282828283 "A"
"A_16" 0.277456647398844 "A"
"A_16" 0.233333333333333 "A"
"A_17" 0.470588235294117 "A"
"A_17" 0.29535864978903 "A"
"A_17" 0.275862068965517 "A"
"A_17" 0.242268041237113 "A"
"A_17" 0.241666666666667 "A"
"A_18" 0.327433628318584 "A"
"A_18" 0.263157894736842 "A"
"A_18" 0.221476510067114 "A"
"A_18" 0.212121212121212 "A"
"A_18" 0.199029126213592 "A"
"A_19" 0.274725274725275 "A"
"A_19" 0.254716981132075 "A"
"A_19" 0.23728813559322 "A"
"A_19" 0.236686390532544 "A"
"A_19" 0.236051502145923 "A"
"A_2" 0.459459459459459 "A"
"A_2" 0.407894736842105 "A"
"A_2" 0.300970873786408 "A"
"A_2" 0.235294117647059 "A"
"A_2" 0.2 "A"
"A_20" 0.103448275862069 "A"
"A_20" 0.09090909 "A"
"A_20" 0.0882352941176471 "A"
"A_20" 0.0869565217391304 "A"
"A_20" 0.0681818181818182 "A"
"A_21" 0.410404624277457 "A"
"A_21" 0.273255813953488 "A"
"A_21" 0.252100840336134 "A"
"A_21" 0.234782608695652 "A"
"A_21" 0.222222222222222 "A"
"A_22" 0.413793103448276 "A"
"A_22" 0.276595744680851 "A"
"A_22" 0.182291666666667 "A"
"A_22" 0.166666666666667 "A"
"A_22" 0.120481927710843 "A"
"A_23" 0.238095238095238 "A"
"A_23" 0.217241379310345 "A"
"A_23" 0.217054263565891 "A"
"A_23" 0.207920792079208 "A"
"A_23" 0.19047619047619 "A"
