"seurat_clusters"	"tissue"	"n"	"percent"	"percent2"	"group"
"0"	"om"	927	19.3286071726439	33.1620990526903	"depot"
"0"	"pvat"	223	14.8666666666667	25.5067459429304	"depot"
"0"	"sc"	2078	24.0899605842801	41.3311550043793	"depot"
"1"	"om"	657	13.6989157631359	30.4178539671394	"depot"
"1"	"pvat"	176	11.7333333333333	26.05336262024	"depot"
"1"	"sc"	1691	19.6035242290749	43.5287834126206	"depot"
"2"	"om"	455	9.48707256046706	30.9579180071056	"depot"
"2"	"pvat"	132	8.8	28.7158843495888	"depot"
"2"	"sc"	1066	12.3579874797125	40.3261976433057	"depot"
"3"	"om"	415	8.65304420350292	33.2075836501919	"depot"
"3"	"pvat"	79	5.26666666666667	20.2117624477419	"depot"
"3"	"sc"	1047	12.1377231625319	46.5806539020662	"depot"
"4"	"om"	366	7.63135946622185	25.7958070371171	"depot"
"4"	"pvat"	166	11.0666666666667	37.4079610770533	"depot"
"4"	"sc"	939	10.8856944122421	36.7962318858296	"depot"
"5"	"om"	316	6.58882402001668	23.3171696797551	"depot"
"5"	"pvat"	196	13.0666666666667	46.2415877081955	"depot"
"5"	"sc"	742	8.60190122884303	30.4412426120495	"depot"
"6"	"om"	571	11.9057547956631	34.0183231308644	"depot"
"6"	"pvat"	289	19.2666666666667	55.0506627736087	"depot"
"6"	"sc"	330	3.82564340366334	10.9310140955269	"depot"
"7"	"om"	359	7.48540450375313	48.7694176784241	"depot"
"7"	"pvat"	39	2.6	16.9396972335063	"depot"
"7"	"sc"	454	5.26315789473684	34.2908850880695	"depot"
"8"	"om"	592	12.3436196830692	47.851443351346	"depot"
"8"	"pvat"	191	12.7333333333333	49.3622125695873	"depot"
"8"	"sc"	62	0.718757245536749	2.78634407906671	"depot"
"9"	"om"	125	2.60633861551293	56.9779183909605	"depot"
"9"	"pvat"	9	0.6	13.1167726369462	"depot"
"9"	"sc"	118	1.36795733827962	29.9053089720932	"depot"
"10"	"om"	13	0.271059216013344	23.7662078933871	"depot"
"10"	"sc"	75	0.869464409923487	76.2337921066129	"depot"
"11"	"sc"	24	0.278228611175516	100	"depot"
